date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,fips
2020-01-22,12,12,2,2,2,4,6,7,13,196,1012,20,19.2,0.0,6.6,3,85,2,20009
2020-01-23,9,9,2,0,0,5,4,6,16,325,1017,23,0.2,0.0,8.3,-1,69,2,20009
2020-01-24,7,7,-3,-4,-4,5,1,2,10,326,1021,16,0.2,0.1,10.0,-4,73,2,20009
2020-01-25,10,10,-1,0,0,6,3,4,7,191,1018,12,0.0,0.0,8.3,-2,69,1,20009
2020-01-26,14,14,3,5,5,6,7,8,6,317,1016,11,0.0,0.0,10.1,-1,58,3,20009
2020-01-27,8,8,1,1,1,6,4,4,9,64,1017,14,0.0,0.0,10.0,-1,66,2,20009
2020-01-28,1,1,-1,-4,-4,1,0,0,9,32,1021,12,10.7,7.8,5.0,-1,95,1,20009
2020-01-29,3,3,0,-1,-1,3,1,1,4,316,1022,6,0.1,0.0,6.7,0,94,1,20009
2020-01-30,6,6,-1,-2,-2,6,2,2,9,211,1020,15,0.0,0.0,10.1,0,89,2,20009
2020-01-31,8,8,1,0,0,6,3,4,10,322,1021,17,0.0,0.0,10.2,-5,58,2,20009
2020-02-01,17,17,1,5,5,6,7,9,10,280,1019,17,0.0,0.0,10.2,-3,50,3,20009
2020-02-02,22,22,8,13,13,6,15,15,11,230,1009,21,0.0,0.0,10.2,-1,38,4,20009
2020-02-03,10,10,-1,3,3,6,6,6,14,125,1004,21,0.0,0.0,5.1,0,64,2,20009
2020-02-04,-3,-3,-9,-11,-11,3,-4,-4,15,21,1019,19,3.5,3.0,5.3,-8,75,1,20009
2020-02-05,1,1,-7,-9,-9,6,-4,-3,9,5,1019,13,0.0,0.0,10.6,-13,52,2,20009
2020-02-06,6,6,-6,-4,-4,6,-1,0,7,284,1008,11,0.0,0.0,10.7,-10,53,2,20009
2020-02-07,6,6,-2,-2,-2,6,1,2,9,323,1011,14,0.0,0.0,10.7,-4,68,2,20009
2020-02-08,11,11,-2,1,1,6,4,5,11,198,1017,17,0.0,0.0,10.7,-3,64,2,20009
2020-02-09,6,6,0,0,0,6,5,5,17,232,1015,25,0.0,0.0,10.0,-2,63,2,20009
2020-02-10,7,7,-3,0,0,6,2,2,3,290,1023,5,0.1,0.0,8.5,-8,51,1,20009
2020-02-11,6,6,-1,-1,-1,6,2,3,7,82,1025,12,0.0,0.0,10.0,-7,52,1,20009
2020-02-12,4,4,-1,-2,-2,3,2,1,12,266,1015,18,13.1,10.6,5.4,-3,74,1,20009
2020-02-13,-3,-3,-9,-13,-13,5,-7,-6,10,44,1032,13,0.1,0.1,10.8,-19,37,1,20009
2020-02-14,4,4,-9,-10,-10,6,-3,-3,15,185,1028,21,0.0,0.0,10.9,-13,46,2,20009
2020-02-15,10,10,2,1,1,6,4,6,12,132,1017,19,0.0,0.0,10.9,-3,63,3,20009
2020-02-16,13,13,0,3,3,6,6,7,7,213,1016,12,0.0,0.0,10.9,0,68,3,20009
2020-02-17,13,13,5,6,6,4,8,10,11,317,1012,16,0.0,0.0,10.9,0,64,4,20009
2020-02-18,8,8,-1,-1,-1,6,3,3,10,18,1027,14,0.1,0.0,10.9,-6,51,2,20009
2020-02-19,5,5,-1,-2,-2,4,2,3,9,154,1032,13,3.9,1.8,8.5,-5,63,1,20009
2020-02-20,-1,-1,-7,-10,-10,4,-5,-5,9,114,1042,13,7.4,7.0,8.5,-8,83,1,20009
2020-02-21,7,7,-8,-6,-6,6,-1,0,12,207,1034,21,0.0,0.0,11.0,-5,75,2,20009
2020-02-22,14,14,1,3,3,6,6,7,10,210,1020,18,0.0,0.0,10.1,1,70,2,20009
2020-02-23,8,8,6,5,5,5,7,7,9,95,1012,15,5.9,0.0,8.6,5,87,2,20009
2020-02-24,11,11,3,3,3,3,7,7,15,239,1009,20,30.8,0.0,10.1,3,77,2,20009
2020-02-25,1,1,-2,-6,-6,0,0,0,20,123,1019,27,15.6,0.0,5.6,-1,90,1,20009
2020-02-26,2,2,-6,-8,-8,5,-2,-2,12,333,1031,18,0.4,0.0,10.1,-7,74,2,20009
2020-02-27,8,8,-1,-2,-2,6,2,4,11,312,1024,18,0.2,0.0,5.6,-4,65,1,20009
2020-02-28,14,14,0,3,3,6,6,8,11,311,1025,18,0.0,0.0,11.2,-2,58,3,20009
2020-02-29,20,20,4,9,9,6,11,12,15,191,1016,24,0.0,0.0,11.2,-2,43,4,20009
2020-03-01,15,15,8,9,9,6,11,12,10,9,1007,16,0.0,0.0,11.2,2,53,4,20009
2020-03-02,11,11,2,4,4,6,7,6,9,103,1012,13,0.0,0.0,11.3,-2,57,3,20009
2020-03-03,16,16,3,7,7,6,9,10,10,297,1012,17,0.0,0.0,11.3,-4,41,3,20009
2020-03-04,16,16,5,8,8,6,10,10,9,227,1018,17,0.0,0.0,11.3,-4,40,4,20009
2020-03-05,14,14,7,7,7,6,10,11,15,348,1025,22,0.0,0.0,11.3,-6,36,4,20009
2020-03-06,15,15,2,6,6,6,8,9,11,167,1031,16,0.0,0.0,11.6,-6,38,3,20009
2020-03-07,19,19,9,11,11,6,13,14,22,193,1020,33,0.0,0.0,11.6,0,41,4,20009
2020-03-08,20,20,11,13,13,5,14,15,24,194,1012,33,3.3,0.0,11.6,6,59,5,20009
2020-03-09,13,13,6,9,9,5,11,11,13,342,1014,18,5.0,0.0,8.8,7,76,3,20009
2020-03-10,17,17,3,7,7,6,9,10,10,179,1022,14,0.0,0.0,11.6,3,65,3,20009
2020-03-11,20,20,8,13,13,6,14,14,7,248,1015,12,1.8,0.0,11.6,6,66,4,20009
2020-03-12,18,18,9,12,12,6,14,15,15,338,1009,22,0.3,0.0,11.6,5,58,4,20009
2020-03-13,6,6,-1,1,1,4,5,5,13,92,1025,18,1.9,0.3,7.4,-3,57,1,20009
2020-03-14,8,8,1,-1,-1,4,3,5,12,73,1026,15,5.2,2.4,6.0,2,89,1,20009
2020-03-15,7,7,1,0,0,5,3,3,10,121,1032,12,0.6,0.0,6.0,0,80,1,20009
2020-03-16,13,13,4,5,5,5,7,9,8,154,1022,11,0.7,0.0,6.0,4,79,2,20009
2020-03-17,12,12,5,5,5,6,8,8,12,118,1023,15,0.0,0.0,6.0,4,79,2,20009
2020-03-18,24,24,10,15,15,5,17,17,11,181,1010,16,0.0,0.0,10.2,10,72,4,20009
2020-03-19,22,22,14,18,18,5,18,18,20,212,1003,29,5.2,0.0,10.2,6,57,4,20009
2020-03-20,7,7,-3,-4,-4,4,2,2,17,15,1031,21,0.0,0.0,11.6,-10,45,2,20009
2020-03-21,9,9,-3,-1,-1,6,3,3,11,174,1030,15,0.0,0.0,8.8,-8,46,1,20009
