date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,fips
2020-01-22,-1,-1,-7,-10,-10,6,-4,-4,12,207,1026,19,0.0,0.0,7.0,-7,85,1,26037
2020-01-23,1,1,-4,-6,-6,5,-2,-1,7,159,1022,13,0.6,0.3,5.2,-4,86,1,26037
2020-01-24,2,2,-6,-4,-4,5,1,1,11,105,1015,18,6.1,0.0,3.5,0,94,1,26037
2020-01-25,1,1,0,-3,-3,2,1,1,7,215,1010,11,0.8,0.3,4.7,0,98,1,26037
2020-01-26,1,1,0,-5,-5,1,0,1,12,276,1010,18,3.2,2.7,4.7,0,97,1,26037
2020-01-27,0,0,-3,-5,-5,4,-1,-1,8,311,1013,11,1.5,1.3,4.9,-2,94,1,26037
2020-01-28,0,0,-3,-5,-5,4,-1,-1,5,319,1019,7,0.7,0.3,6.6,-3,88,1,26037
2020-01-29,-1,-1,-4,-5,-5,4,-2,-2,4,77,1023,6,0.8,0.5,5.0,-4,86,1,26037
2020-01-30,0,0,-3,-3,-3,6,-2,-1,3,229,1024,4,0.2,0.1,5.0,-4,82,1,26037
2020-01-31,0,0,-2,-4,-4,5,-1,-1,4,192,1023,6,0.2,0.1,5.0,-4,84,1,26037
2020-02-01,2,2,-2,-5,-5,3,0,0,10,226,1013,14,3.4,2.1,5.0,-2,89,1,26037
2020-02-02,5,5,-1,-3,-3,4,2,3,15,264,1000,23,1.6,0.8,5.0,1,89,1,26037
2020-02-03,5,5,-1,0,0,3,2,3,6,141,1009,9,0.2,0.0,6.7,2,92,1,26037
2020-02-04,0,0,-3,-6,-6,5,0,0,12,11,1015,16,0.3,0.1,8.3,-4,77,1,26037
2020-02-05,-1,-1,-6,-9,-9,5,-4,-3,9,92,1020,11,2.4,0.7,8.3,-10,61,1,26037
2020-02-06,-3,-3,-5,-11,-11,1,-4,-4,12,34,1005,16,9.7,8.6,5.0,-5,93,1,26037
2020-02-07,-1,-1,-9,-9,-9,4,-4,-3,9,322,1005,14,1.5,1.4,5.1,-6,88,1,26037
2020-02-08,-2,-2,-8,-8,-8,1,-5,-5,5,86,1020,7,7.0,5.6,5.3,-6,94,1,26037
2020-02-09,-1,-1,-9,-9,-9,3,-4,-3,12,170,1022,18,8.1,6.1,8.4,-4,94,1,26037
2020-02-10,-2,-2,-8,-5,-5,5,-2,-3,5,20,1019,8,0.1,0.0,5.3,-3,94,1,26037
2020-02-11,-1,-1,-6,-8,-8,6,-3,-2,9,263,1019,14,0.2,0.1,5.3,-5,90,1,26037
2020-02-12,0,0,-6,-8,-8,4,-3,-2,9,206,1017,13,1.2,0.3,10.0,-4,90,1,26037
2020-02-13,-2,-2,-15,-13,-13,2,-7,-6,9,230,1016,12,4.7,3.7,5.3,-8,92,1,26037
2020-02-14,-8,-8,-18,-18,-18,5,-13,-12,6,226,1033,10,0.3,0.1,8.5,-15,86,1,26037
2020-02-15,-2,-2,-13,-15,-15,5,-7,-7,15,206,1023,23,1.1,0.3,8.5,-10,83,1,26037
2020-02-16,0,0,-6,-7,-7,6,-2,-1,8,265,1020,13,0.2,0.1,8.5,-4,92,1,26037
2020-02-17,0,0,-8,-9,-9,4,-4,-3,10,123,1021,16,2.7,0.9,5.4,-5,90,1,26037
2020-02-18,3,3,-3,-6,-6,5,0,1,15,283,1016,23,3.8,0.0,7.0,-1,90,1,26037
2020-02-19,-4,-4,-9,-12,-12,6,-6,-6,10,292,1033,15,0.2,0.0,10.1,-10,79,2,26037
2020-02-20,-7,-7,-11,-15,-15,6,-9,-9,7,320,1037,10,0.0,0.0,5.4,-12,80,1,26037
2020-02-21,-2,-2,-11,-13,-13,6,-6,-5,13,241,1032,20,0.0,0.0,10.9,-10,72,2,26037
2020-02-22,3,3,-5,-7,-7,6,-1,0,14,234,1023,23,0.0,0.0,10.9,-6,71,2,26037
2020-02-23,6,6,-2,-3,-3,6,2,3,13,217,1015,21,0.0,0.0,11.0,-1,81,2,26037
2020-02-24,4,4,0,-1,-1,4,2,3,6,98,1013,9,0.2,0.0,5.5,1,92,1,26037
2020-02-25,2,2,-2,-5,-5,4,0,1,14,39,1014,20,1.3,0.5,5.5,-1,92,1,26037
2020-02-26,-2,-2,-6,-10,-10,0,-3,-3,17,28,1012,23,16.1,7.9,5.5,-4,94,1,26037
2020-02-27,-5,-5,-9,-15,-15,3,-7,-6,17,289,1014,23,1.1,0.9,5.5,-10,81,1,26037
2020-02-28,-5,-5,-10,-14,-14,4,-7,-7,14,286,1015,19,0.4,0.1,5.6,-10,81,1,26037
2020-02-29,-1,-1,-8,-12,-12,6,-5,-4,11,291,1019,16,0.1,0.0,8.6,-8,80,1,26037
2020-03-01,5,5,-6,-5,-5,6,0,0,12,187,1015,21,0.1,0.0,8.6,-3,83,1,26037
2020-03-02,6,6,0,0,0,4,3,3,9,285,1007,15,0.4,0.0,8.6,1,88,1,26037
2020-03-03,7,7,-1,-1,-1,5,2,4,10,249,1002,14,0.4,0.0,10.1,-1,80,1,26037
2020-03-04,4,4,-1,-4,-4,5,1,2,12,289,1011,17,0.7,0.1,8.6,-3,75,1,26037
2020-03-05,8,8,-2,-1,-1,6,3,4,10,196,1016,15,2.1,0.0,8.6,-3,69,1,26037
2020-03-06,2,2,-2,-5,-5,4,0,1,13,242,1020,17,1.7,1.2,5.7,-2,82,1,26037
2020-03-07,7,7,-4,-2,-2,6,1,2,8,217,1031,13,0.0,0.0,11.3,-6,61,2,26037
