date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,fips
2020-01-22,1,1,-8,-5,-5,6,-1,0,9,172,1022,13,1.7,0.0,5.0,-3,80,1,29141
2020-01-23,3,3,0,0,0,2,2,2,4,172,1014,6,2.6,0.0,5.0,1,98,1,29141
2020-01-24,1,1,-1,-4,-4,2,0,0,8,297,1014,11,5.4,4.3,5.0,-1,95,1,29141
2020-01-25,4,4,-3,-3,-3,4,0,0,5,270,1020,7,0.0,0.0,10.0,-2,90,2,29141
2020-01-26,8,8,-1,3,3,3,4,4,2,182,1017,4,0.0,0.0,10.0,0,88,1,29141
2020-01-27,9,9,-2,3,3,5,4,4,4,291,1018,6,0.0,0.0,10.0,0,84,2,29141
2020-01-28,3,3,-1,-2,-2,6,1,1,5,60,1020,7,0.0,0.0,5.0,-1,85,1,29141
2020-01-29,1,1,-2,-4,-4,1,-1,0,6,36,1022,9,8.2,5.6,5.1,-2,93,1,29141
2020-01-30,2,2,-2,-1,-1,3,0,0,2,133,1023,3,0.2,0.0,5.1,-1,92,1,29141
2020-01-31,9,9,0,2,2,4,4,5,5,219,1020,7,0.1,0.0,10.0,2,88,2,29141
2020-02-01,10,10,-2,1,1,4,3,4,6,264,1019,11,0.0,0.0,10.2,-1,78,2,29141
2020-02-02,17,17,6,9,9,6,11,11,9,248,1010,16,0.0,0.0,10.2,5,71,4,29141
2020-02-03,19,19,9,12,12,6,13,15,8,212,1004,13,0.0,0.0,10.0,7,72,4,29141
2020-02-04,4,4,-1,-1,-1,4,3,3,10,27,1013,13,2.6,0.7,5.1,1,86,1,29141
2020-02-05,0,0,-4,-6,-6,2,-1,-1,9,51,1014,13,13.4,11.2,5.1,-3,91,1,29141
2020-02-06,-1,-1,-7,-8,-8,4,-4,-3,6,232,1007,9,1.7,1.5,5.1,-6,89,1,29141
2020-02-07,2,2,-8,-6,-6,5,-3,-2,5,229,1011,9,0.6,0.3,6.8,-5,90,1,29141
2020-02-08,4,4,-7,-5,-5,6,-2,-1,5,265,1023,8,0.0,0.0,10.3,-6,80,2,29141
2020-02-09,12,12,1,3,3,5,6,9,10,207,1016,17,11.6,0.0,5.2,4,89,2,29141
2020-02-10,4,4,-4,-3,-3,5,0,0,7,24,1021,9,3.3,0.0,10.0,-3,82,1,29141
2020-02-11,6,6,-2,0,0,6,2,3,4,335,1024,6,0.3,0.0,10.0,-3,75,1,29141
2020-02-12,2,2,0,-1,-1,4,1,1,4,105,1015,7,20.9,0.0,5.2,-1,90,1,29141
2020-02-13,-8,-8,-13,-15,-15,4,-9,-10,10,338,1028,13,3.0,3.3,10.4,-12,78,2,29141
2020-02-14,0,0,-16,-12,-12,6,-8,-8,5,138,1035,8,0.0,0.0,10.4,-16,59,2,29141
2020-02-15,7,7,-3,-2,-2,6,2,3,7,228,1022,12,0.0,0.0,6.8,-4,69,1,29141
2020-02-16,13,13,-1,4,4,5,5,6,4,127,1019,6,0.0,0.0,10.0,2,82,3,29141
