date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,fips
2020-01-22,6,6,-4,-2,-2,6,1,2,6,33,1030,9,0.0,0.0,10.0,-9,50,1,37071
2020-01-23,7,7,-2,0,0,6,2,4,5,48,1027,8,0.0,0.0,6.7,-4,62,1,37071
2020-01-24,13,13,3,6,6,4,8,9,7,137,1018,12,40.2,0.0,5.1,7,97,2,37071
2020-01-25,12,12,3,6,6,4,7,8,4,291,1015,6,0.0,0.0,6.7,4,84,2,37071
2020-01-26,11,11,1,5,5,6,6,7,3,272,1017,5,0.0,0.0,10.2,0,69,3,37071
2020-01-27,12,12,4,5,5,6,7,9,6,263,1012,9,0.9,0.0,5.1,4,80,2,37071
2020-01-28,12,12,2,6,6,6,7,8,3,186,1016,5,0.0,0.0,10.2,3,78,3,37071
2020-01-29,10,10,2,4,4,6,6,7,4,91,1018,7,0.0,0.0,10.0,1,73,2,37071
2020-01-30,10,10,4,6,6,5,7,8,4,50,1022,6,0.8,0.0,6.7,3,78,2,37071
2020-01-31,4,4,2,1,1,4,3,4,5,43,1023,8,12.9,0.0,6.7,1,86,1,37071
2020-02-01,12,12,3,5,5,4,7,8,5,282,1015,8,1.0,0.0,5.1,4,85,2,37071
2020-02-02,14,14,3,6,6,6,8,10,11,236,1012,18,0.1,0.0,10.3,3,70,3,37071
2020-02-03,19,19,7,12,12,6,13,14,7,223,1016,13,0.0,0.0,6.8,8,74,3,37071
2020-02-04,18,18,12,14,14,6,15,15,10,230,1015,16,0.3,0.0,10.0,11,77,4,37071
2020-02-05,17,17,15,16,16,4,16,16,11,206,1012,16,4.3,0.0,5.2,15,92,4,37071
2020-02-06,19,19,15,17,17,3,17,18,14,216,999,21,103.6,0.0,5.2,16,94,4,37071
2020-02-07,8,8,1,4,4,5,8,7,13,269,1004,18,10.3,0.0,8.4,2,69,2,37071
2020-02-08,6,6,0,1,1,5,3,4,4,191,1025,5,0.8,0.0,7.0,-2,73,1,37071
2020-02-09,11,11,-1,4,4,4,5,7,4,173,1032,6,0.0,0.0,10.8,0,77,3,37071
2020-02-10,14,14,2,6,6,6,8,9,5,249,1025,8,4.6,0.0,8.5,5,85,2,37071
2020-02-11,20,20,12,16,16,5,16,18,11,230,1016,17,11.2,0.0,5.4,15,92,4,37071
2020-02-12,13,13,10,11,11,6,12,11,5,69,1018,8,1.6,0.0,5.5,9,83,3,37071
2020-02-13,19,19,10,15,15,5,16,18,11,235,1012,18,15.0,0.0,7.0,13,85,4,37071
2020-02-14,12,12,3,5,5,6,7,9,6,242,1026,9,0.0,0.0,10.9,-2,57,3,37071
2020-02-15,9,9,-2,0,0,6,3,4,6,120,1032,9,0.0,0.0,8.5,-4,62,1,37071
2020-02-16,9,9,2,5,5,5,5,7,3,199,1024,5,0.0,0.0,8.5,2,82,2,37071
2020-02-17,15,15,3,8,8,5,10,10,4,88,1021,7,0.0,0.0,11.0,5,77,4,37071
2020-02-18,16,16,9,12,12,4,13,13,7,200,1021,11,2.8,0.0,5.5,11,90,3,37071
2020-02-19,10,10,8,8,8,5,10,9,7,45,1025,11,5.1,0.0,5.5,6,78,2,37071
2020-02-20,6,6,-4,2,2,3,4,4,6,41,1028,9,13.6,7.8,5.5,2,86,1,37071
2020-02-21,6,6,-2,-2,-2,5,1,2,7,30,1032,11,0.3,0.3,11.1,-5,65,2,37071
2020-02-22,12,12,0,4,4,6,5,7,3,232,1030,5,0.0,0.0,11.1,-3,60,3,37071
2020-02-23,13,13,1,5,5,6,7,8,5,215,1024,8,0.0,0.0,10.1,1,72,2,37071
2020-02-24,8,8,5,6,6,5,7,8,5,221,1018,8,13.1,0.0,5.6,4,82,2,37071
2020-02-25,19,19,9,13,13,5,14,15,5,232,1009,8,17.3,0.0,5.6,11,89,4,37071
2020-02-26,18,18,8,11,11,5,12,14,9,227,1009,12,0.2,0.0,10.1,7,76,3,37071
2020-02-27,9,9,0,0,0,6,4,5,9,287,1017,14,0.0,0.0,11.6,-6,51,3,37071
2020-02-28,10,10,-1,1,1,6,4,6,8,232,1019,13,1.9,0.0,7.3,-3,64,2,37071
2020-02-29,7,7,0,0,0,6,4,5,8,302,1021,13,0.0,0.0,11.6,-5,59,2,37071
2020-03-01,13,13,0,5,5,6,6,8,4,204,1025,6,0.0,0.0,11.6,-3,55,3,37071
2020-03-02,16,16,3,8,8,6,9,11,8,219,1019,13,0.0,0.0,10.2,5,74,3,37071
2020-03-03,15,15,7,11,11,3,13,14,8,209,1011,13,26.7,0.0,5.9,13,95,3,37071
2020-03-04,14,14,8,10,10,5,11,12,5,157,1016,8,0.4,0.0,10.2,6,75,3,37071
2020-03-05,10,10,7,8,8,4,9,9,4,70,1018,7,23.1,0.0,5.9,7,87,2,37071
2020-03-06,11,11,3,5,5,4,8,9,11,299,1017,16,0.0,0.0,11.6,1,68,3,37071
2020-03-07,12,12,0,3,3,6,5,7,6,351,1029,10,0.0,0.0,11.6,-3,57,3,37071
2020-03-08,15,15,2,7,7,6,9,10,5,202,1035,8,0.0,0.0,10.2,-1,57,3,37071
2020-03-09,18,18,3,9,9,6,10,12,7,218,1033,12,0.0,0.0,10.2,5,71,3,37071
2020-03-10,18,18,10,13,13,5,14,15,10,230,1025,15,1.0,0.0,5.9,12,85,4,37071
2020-03-11,22,22,11,16,16,3,17,18,7,237,1018,11,0.0,0.0,8.8,12,81,4,37071
2020-03-12,22,22,11,16,16,5,17,18,5,123,1015,8,0.9,0.0,11.6,12,78,5,37071
2020-03-13,20,20,14,17,17,5,17,19,8,271,1017,14,3.0,0.0,11.6,14,79,4,37071
2020-03-14,17,17,9,12,12,6,13,13,5,90,1027,8,0.0,0.0,8.8,4,55,3,37071
2020-03-15,16,16,10,12,12,6,13,14,6,54,1026,9,0.0,0.0,8.8,8,75,3,37071
2020-03-16,15,15,6,9,9,6,10,11,4,85,1029,6,0.0,0.0,6.0,5,72,3,37071
2020-03-17,16,16,9,12,12,5,12,14,4,178,1024,5,6.2,0.0,6.0,11,91,3,37071
2020-03-18,19,19,11,14,14,5,15,16,4,79,1027,7,0.0,0.0,6.0,12,83,4,37071
2020-03-19,26,26,16,20,20,5,20,21,8,220,1024,12,1.1,0.0,8.8,17,85,5,37071
2020-03-20,26,26,17,21,22,5,22,23,10,228,1022,15,2.3,0.0,11.6,16,78,6,37071
2020-03-21,25,25,16,19,19,5,20,21,3,136,1022,6,5.5,0.0,7.4,14,78,5,37071
2020-03-22,12,12,6,9,9,5,11,11,9,69,1028,12,2.1,0.0,6.1,7,77,3,37071
2020-03-23,12,12,8,9,9,4,9,10,3,177,1023,4,17.2,0.0,6.1,9,94,2,37071
2020-03-24,18,18,8,11,11,3,12,14,5,78,1017,8,16.4,0.0,7.5,10,89,3,37071
2020-03-25,21,21,12,16,16,5,16,18,5,343,1010,8,43.1,0.0,6.1,12,82,4,37071
2020-03-26,18,18,8,12,12,6,13,14,5,183,1018,8,0.0,0.0,11.6,9,80,4,37071
2020-03-27,27,27,13,20,20,6,21,22,8,228,1013,13,0.0,0.0,10.2,16,81,6,37071
2020-03-28,26,26,17,21,22,4,22,23,8,226,1013,12,0.0,0.0,10.2,18,82,6,37071
2020-03-29,27,27,17,22,22,6,22,24,12,237,1015,18,0.3,0.0,8.9,16,73,5,37071
2020-03-30,22,22,14,17,17,6,18,19,5,275,1018,9,0.0,0.0,11.6,7,53,5,37071
2020-03-31,13,13,8,9,9,4,11,11,9,71,1010,14,17.5,0.0,6.2,7,77,3,37071
2020-04-01,14,14,6,8,8,5,9,11,7,342,1011,11,1.5,0.0,8.9,4,72,3,37071
2020-04-02,17,17,5,9,9,6,11,13,7,337,1017,11,0.0,0.0,11.6,3,63,3,37071
2020-04-03,20,20,6,13,13,6,14,16,5,302,1016,8,0.0,0.0,11.6,5,62,5,37071
2020-04-04,23,23,9,16,16,6,18,18,4,119,1015,6,0.0,0.0,11.6,7,59,5,37071
2020-04-05,21,21,11,16,16,6,17,18,4,204,1018,7,2.1,0.0,10.3,9,67,4,37071
2020-04-06,26,26,12,19,19,4,20,22,4,270,1017,7,3.8,0.0,11.6,12,75,6,37071
2020-04-07,25,25,14,19,19,4,20,21,7,234,1014,11,0.7,0.0,10.3,14,77,5,37071
2020-04-08,27,27,16,22,23,6,23,23,7,260,1007,11,2.4,0.0,11.6,15,73,6,37071
2020-04-09,24,24,15,18,18,4,19,21,12,289,1003,18,0.0,0.0,11.6,10,62,6,37071
2020-04-10,14,14,6,8,8,6,10,11,9,316,1012,14,0.0,0.0,11.6,-1,48,4,37071
2020-04-11,18,18,4,11,11,6,12,14,5,204,1019,7,0.0,0.0,11.6,1,53,4,37071
2020-04-12,17,17,8,13,13,5,13,14,9,151,1017,14,15.4,0.0,6.5,11,88,3,37071
2020-04-13,24,24,15,20,21,5,21,22,13,242,1009,21,22.5,0.0,11.6,15,75,6,37071
2020-04-14,21,21,10,15,15,6,16,16,7,149,1016,11,0.1,0.0,11.6,9,72,4,37071
2020-04-15,17,17,5,8,8,6,11,10,8,62,1017,11,0.0,0.0,10.3,1,60,4,37071
2020-04-16,19,19,5,12,12,6,13,14,4,302,1024,6,0.0,0.0,11.6,0,50,4,37071
2020-04-17,20,20,7,14,14,6,15,16,7,207,1022,11,0.0,0.0,11.6,5,59,5,37071
2020-04-18,19,19,13,15,15,5,16,17,10,314,1013,15,3.0,0.0,9.2,6,61,4,37071
2020-04-19,19,19,8,13,13,6,14,15,5,184,1013,8,0.0,0.0,10.4,7,68,5,37071
2020-04-20,20,20,11,13,13,4,14,15,6,88,1005,9,31.1,0.0,8.0,10,81,4,37071
2020-04-21,20,20,9,14,14,5,15,17,8,284,1010,14,0.1,0.0,11.6,9,69,4,37071
2020-04-22,20,20,7,14,14,6,15,16,4,234,1018,7,0.0,0.0,11.6,5,58,5,37071
2020-04-23,17,17,11,14,14,5,14,15,10,178,1013,16,9.1,0.0,6.8,12,88,3,37071
2020-04-24,24,24,16,19,19,5,21,21,9,289,1007,14,4.2,0.0,10.4,14,75,5,37071
2020-04-25,21,21,14,16,16,6,17,17,6,113,1012,9,2.5,0.0,6.8,13,82,4,37071
2020-04-26,21,21,12,16,16,4,17,17,9,260,1010,14,0.0,0.0,11.6,10,75,5,37071
2020-04-27,20,20,9,13,13,6,15,16,8,231,1019,12,0.0,0.0,11.6,4,55,5,37071
2020-04-28,24,24,9,17,17,6,18,19,4,203,1021,7,0.0,0.0,11.6,8,60,5,37071
2020-04-29,25,25,14,19,19,5,20,21,11,184,1013,17,15.8,0.0,9.2,13,74,5,37071
2020-04-30,20,20,11,14,14,4,15,17,8,236,1007,12,86.8,0.0,8.1,11,82,4,37071
2020-05-01,18,18,7,12,12,6,13,15,8,306,1014,12,0.0,0.0,11.6,7,69,5,37071
2020-05-02,24,24,9,17,17,6,18,19,5,227,1020,7,0.0,0.0,11.6,10,69,5,37071
2020-05-03,28,28,13,20,22,6,22,23,9,235,1014,14,0.0,0.0,11.6,13,66,6,37071
2020-05-04,27,27,18,22,23,6,23,23,6,225,1012,9,0.2,0.0,11.6,12,58,6,37071
2020-05-05,18,18,11,16,16,5,16,17,4,55,1011,6,14.1,0.0,6.9,14,88,4,37071
2020-05-06,19,19,7,12,12,6,13,15,8,185,1011,13,3.6,0.0,10.4,8,76,4,37071
2020-05-07,18,18,5,11,11,6,13,14,5,290,1017,8,0.0,0.0,11.6,3,60,4,37071
2020-05-08,18,18,8,11,11,5,12,14,8,226,1013,13,1.3,0.0,9.3,7,71,3,37071
2020-05-09,16,16,3,8,8,6,10,12,7,301,1021,11,0.3,0.0,11.6,1,57,4,37071
2020-05-10,20,20,4,12,12,6,14,15,6,193,1022,10,0.0,0.0,11.6,3,55,5,37071
2020-05-11,17,17,8,12,12,6,14,15,9,302,1020,13,0.0,0.0,11.6,2,54,4,37071
2020-05-12,18,18,5,11,11,6,11,14,4,257,1024,6,0.0,0.0,11.6,3,58,4,37071
2020-05-13,22,22,8,13,13,4,15,14,4,141,1027,7,2.6,0.0,7.0,10,80,3,37071
2020-05-14,26,26,10,19,19,4,20,21,6,218,1025,8,0.0,0.0,11.6,13,77,6,37071
2020-05-15,25,25,13,19,19,5,19,21,7,216,1021,11,0.0,0.0,9.3,15,80,5,37071
2020-05-16,28,28,14,22,23,4,23,24,6,215,1018,9,0.0,0.0,11.6,15,73,6,37071
2020-05-17,29,29,16,23,24,5,24,26,7,233,1017,10,0.0,0.0,11.6,16,72,7,37071
2020-05-18,25,25,17,20,21,5,21,22,5,100,1012,8,14.5,0.0,7.0,18,86,5,37071
2020-05-19,22,22,13,18,18,4,19,20,11,95,1010,19,33.9,0.0,7.0,17,95,4,37071
2020-05-20,15,15,10,13,13,4,14,14,12,73,1015,18,22.6,0.0,7.1,14,96,3,37071
2020-05-21,25,25,15,19,19,4,20,20,5,122,1016,8,15.3,0.0,7.1,17,93,5,37071
2020-05-22,27,27,13,19,20,3,20,22,5,240,1018,9,1.5,0.0,10.5,16,85,5,37071
2020-05-23,31,31,17,24,25,4,25,26,5,261,1017,8,0.8,0.0,10.5,19,79,7,37071
2020-05-24,31,31,19,25,27,4,27,27,3,120,1018,6,11.1,0.0,10.5,20,80,6,37071
2020-05-25,26,26,19,22,23,4,23,23,5,123,1020,7,8.4,0.0,7.1,19,88,5,37071
2020-05-26,25,25,19,21,21,6,22,22,5,98,1020,8,0.5,0.0,8.2,18,84,5,37071
2020-05-27,22,22,14,18,18,4,19,19,8,47,1017,12,13.6,0.0,7.1,18,93,4,37071
2020-05-28,27,27,17,22,24,4,24,24,4,193,1016,7,12.1,0.0,8.2,20,90,5,37071
2020-05-29,28,28,19,23,24,4,24,25,5,197,1016,8,7.6,0.0,7.1,20,85,6,37071
2020-05-30,30,30,18,23,24,4,24,26,4,230,1015,7,2.5,0.0,11.6,19,78,7,37071
2020-05-31,25,25,17,20,21,6,21,22,6,48,1019,10,0.9,0.0,11.6,14,68,6,37071
2020-06-01,27,27,13,19,19,6,20,21,5,51,1024,8,0.1,0.0,11.6,10,58,6,37071
2020-06-02,28,28,14,21,22,6,22,24,8,230,1021,12,0.0,0.0,11.6,15,70,6,37071
2020-06-03,31,31,19,25,26,6,26,27,8,230,1015,13,0.0,0.0,11.6,19,72,7,37071
2020-06-04,31,31,20,26,27,6,27,28,8,204,1014,13,0.0,0.0,11.6,18,71,7,37071
2020-06-05,29,29,19,23,24,4,24,25,6,219,1013,10,12.2,0.0,9.4,20,85,6,37071
2020-06-06,32,32,19,25,27,5,27,28,5,301,1014,7,2.8,0.0,11.6,19,72,7,37071
2020-06-07,33,33,20,26,29,5,29,29,3,186,1014,6,2.4,0.0,9.4,20,74,6,37071
2020-06-08,33,33,21,26,29,6,29,28,3,101,1015,5,3.5,0.0,10.5,21,79,6,37071
2020-06-09,31,31,22,26,28,5,28,28,5,219,1015,8,13.7,0.0,9.4,22,83,6,37071
2020-06-10,30,30,21,25,27,5,27,27,8,213,1015,12,2.5,0.0,11.6,21,82,6,37071
2020-06-11,31,31,22,25,28,4,28,27,6,276,1017,9,4.5,0.0,9.4,21,80,6,37071
2020-06-12,29,29,20,23,24,6,24,26,8,26,1020,12,0.1,0.0,11.6,15,59,7,37071
2020-06-13,28,28,17,22,22,6,22,24,7,48,1020,11,0.0,0.0,11.6,13,61,6,37071
2020-06-14,27,27,16,22,23,5,23,24,6,74,1022,9,2.8,0.0,11.6,14,68,6,37071
2020-06-15,21,21,15,17,17,5,18,19,9,47,1024,13,4.0,0.0,7.2,13,78,4,37071
