date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,fips
2019-01-01,6,6,0,2,2,5,4,4,6,120,1023,9,0.0,0.0,4.9,-1,71,1,05063
2019-01-02,1,1,-5,-3,-3,4,-1,-1,3,138,1026,4,1.4,0.0,6.6,-9,53,1,05063
2019-01-03,5,5,1,1,1,5,2,3,4,42,1021,6,4.4,0.0,9.9,-3,69,1,05063
2019-01-04,6,6,0,1,1,4,4,4,5,321,1014,12,30.5,0.0,5.0,0,76,1,05063
2019-01-05,14,14,0,6,6,6,7,8,4,244,1021,7,0.0,0.0,9.9,2,74,3,05063
2019-01-06,13,13,4,7,7,6,8,9,5,189,1020,11,0.0,0.0,9.9,5,76,3,05063
2019-01-07,16,16,10,12,12,4,13,13,6,214,1018,19,0.6,0.0,6.6,10,86,3,05063
2019-01-08,16,16,6,10,10,4,11,12,5,316,1022,14,0.0,0.0,9.9,4,68,4,05063
2019-01-09,7,7,3,4,4,6,6,5,5,323,1029,13,0.0,0.0,9.9,-2,61,3,05063
2019-01-10,5,5,-2,2,2,6,3,3,2,57,1029,7,0.0,0.0,9.9,-3,66,2,05063
2019-01-11,3,3,0,-1,-1,4,1,1,2,115,1026,7,18.3,0.0,5.0,0,85,1,05063
2019-01-12,5,5,2,3,3,3,4,4,3,111,1021,8,15.2,0.0,5.0,4,96,1,05063
2019-01-13,4,4,1,1,1,6,3,3,6,330,1028,14,0.0,0.0,5.0,1,86,1,05063
2019-01-14,5,5,-2,1,1,6,2,2,3,337,1030,6,0.0,0.0,6.6,-1,80,1,05063
2019-01-15,8,8,0,3,3,6,4,5,4,209,1026,7,0.0,0.0,10.0,1,82,2,05063
2019-01-16,11,11,3,7,7,6,7,7,4,187,1022,8,0.0,0.0,10.0,4,83,3,05063
2019-01-17,13,13,8,10,10,4,11,11,5,247,1018,10,3.1,0.0,5.0,7,85,3,05063
2019-01-18,10,10,4,6,6,4,7,7,6,132,1016,10,1.2,0.0,6.7,6,91,2,05063
2019-01-19,9,9,0,2,2,3,5,4,12,338,1008,21,41.7,0.0,5.0,3,85,1,05063
2019-01-20,1,1,-9,-6,-6,6,-2,-3,8,239,1029,12,0.0,0.0,10.1,-11,58,2,05063
2019-01-21,5,5,-5,-3,-3,6,0,0,8,123,1025,12,0.0,0.0,10.1,-7,61,1,05063
2019-01-22,9,9,3,4,4,4,7,6,10,165,1016,21,7.5,0.0,5.1,4,83,2,05063
2019-01-23,3,3,0,1,1,3,4,2,6,318,1017,17,41.0,2.1,5.1,-1,73,1,05063
2019-01-24,6,6,-6,-2,-2,6,1,2,5,296,1021,10,0.0,0.0,8.3,-5,64,1,05063
2019-01-25,0,0,-8,-5,-5,6,-3,-3,6,257,1028,9,0.4,0.0,10.2,-12,51,2,05063
2019-01-26,8,8,-1,1,1,6,3,4,5,215,1023,8,0.4,0.0,10.2,-3,67,2,05063
2019-01-27,9,9,-1,3,3,6,5,5,6,204,1018,7,0.0,0.0,10.2,-1,71,2,05063
2019-01-28,8,8,1,2,2,6,5,5,8,283,1013,17,0.1,0.0,6.7,1,74,2,05063
2019-01-29,2,2,-8,-7,-7,6,-2,-3,8,300,1023,13,0.0,0.0,10.2,-13,48,2,05063
2019-01-30,-2,-2,-6,-8,-8,6,-4,-4,6,25,1027,10,0.0,0.0,10.2,-12,52,2,05063
2019-01-31,5,5,-9,-4,-4,6,-1,-1,5,143,1027,8,0.0,0.0,10.0,-9,55,1,05063
2019-02-01,7,7,-1,2,2,4,3,4,3,147,1024,3,0.5,0.0,6.8,0,79,1,05063
2019-02-02,13,13,4,10,10,4,10,10,3,179,1020,7,0.1,0.0,10.0,8,89,2,05063
2019-02-03,16,16,6,12,12,5,13,13,6,190,1013,12,0.0,0.0,10.0,11,87,4,05063
