date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,fips
2020-01-22,1,1,-5,-5,-5,3,0,1,11,176,1013,19,5.1,0.0,4.9,0,98,1,19193
2020-01-23,0,0,-8,-6,-6,1,-2,-2,9,319,1016,13,2.8,1.4,4.9,-2,96,1,19193
2020-01-24,-4,-4,-10,-11,-11,4,-5,-6,9,333,1020,14,0.4,0.3,4.9,-6,95,1,19193
2020-01-25,-4,-4,-11,-11,-11,3,-7,-7,4,257,1019,8,0.0,0.0,8.3,-8,95,1,19193
2020-01-26,1,1,-6,-6,-6,4,-3,-3,5,271,1016,9,0.0,0.0,8.3,-4,94,1,19193
2020-01-27,-3,-3,-5,-7,-7,4,-3,-4,6,352,1020,10,0.1,0.0,4.9,-4,95,1,19193
2020-01-28,-5,-5,-9,-9,-9,4,-7,-7,3,293,1023,5,0.8,0.3,5.0,-8,94,1,19193
2020-01-29,-4,-4,-10,-9,-9,3,-7,-7,3,134,1024,4,2.1,2.0,5.0,-8,95,1,19193
2020-01-30,1,1,-3,-5,-5,6,-1,0,9,179,1019,13,0.3,0.3,5.0,-1,98,1,19193
2020-01-31,0,0,-3,-4,-4,2,-1,0,7,261,1018,10,0.3,0.1,5.0,-1,97,1,19193
2020-02-01,2,2,-5,-5,-5,4,-1,-1,7,230,1014,14,0.0,0.0,8.3,-2,93,1,19193
2020-02-02,4,4,-3,-1,-1,5,2,3,8,298,1009,16,0.0,0.0,10.0,0,85,1,19193
2020-02-03,-2,-2,-6,-9,-9,6,-3,-2,15,32,1013,21,0.0,0.0,10.0,-5,80,2,19193
2020-02-04,-6,-6,-8,-14,-14,6,-7,-7,11,23,1025,15,0.0,0.0,5.0,-11,75,1,19193
2020-02-05,-4,-4,-9,-10,-10,6,-7,-7,4,144,1021,6,0.0,0.0,6.7,-11,76,1,19193
2020-02-06,-1,-1,-8,-10,-10,6,-5,-5,7,186,1007,13,0.0,0.0,10.1,-7,83,2,19193
2020-02-07,-9,-9,-13,-17,-17,4,-9,-10,11,324,1013,15,1.2,0.5,5.1,-10,92,1,19193
2020-02-08,-2,-2,-15,-13,-13,6,-9,-9,8,172,1020,13,0.0,0.0,10.0,-11,85,2,19193
2020-02-09,1,1,-8,-9,-9,5,-3,-1,13,323,1017,20,0.1,0.0,6.7,-4,89,1,19193
2020-02-10,2,2,-8,-8,-8,5,-4,-2,8,239,1022,13,0.0,0.0,10.2,-6,85,2,19193
2020-02-11,2,2,-6,-7,-7,6,-3,-3,9,266,1023,15,0.0,0.0,10.3,-6,79,2,19193
2020-02-12,3,3,-15,-9,-9,4,-4,-2,17,285,1015,24,0.6,0.0,8.4,-9,73,1,19193
2020-02-13,-16,-16,-23,-28,-28,6,-20,-20,10,330,1036,13,0.0,0.0,10.3,-25,64,2,19193
2020-02-14,-3,-3,-17,-17,-17,6,-9,-8,17,183,1026,25,0.0,0.0,10.3,-16,58,2,19193
2020-02-15,2,2,-6,-7,-7,6,-2,-1,9,303,1017,16,0.0,0.0,10.4,-5,77,2,19193
2020-02-16,6,6,-1,-1,-1,6,1,2,6,171,1016,11,0.0,0.0,10.0,-3,75,1,19193
2020-02-17,3,3,-3,-3,-3,3,1,3,10,273,1013,16,4.5,0.3,5.2,0,92,1,19193
2020-02-18,0,0,-7,-10,-10,6,-4,-3,11,334,1030,14,0.0,0.0,10.8,-8,72,2,19193
2020-02-19,-10,-10,-13,-17,-17,2,-11,-11,8,29,1041,10,5.1,4.3,5.4,-13,80,1,19193
2020-02-20,-2,-2,-13,-13,-13,6,-8,-9,6,220,1043,9,0.0,0.0,10.9,-16,54,2,19193
2020-02-21,5,5,-6,-7,-7,6,-2,-1,13,216,1029,22,0.0,0.0,10.9,-6,73,2,19193
2020-02-22,9,9,-2,-2,-2,6,2,3,9,208,1018,16,0.0,0.0,10.9,-1,81,2,19193
2020-02-23,8,8,0,1,1,6,4,5,6,320,1016,11,0.0,0.0,10.1,-1,74,2,19193
2020-02-24,4,4,-2,-4,-4,6,0,1,9,69,1015,13,0.0,0.0,7.0,-3,78,2,19193
2020-02-25,0,0,-3,-8,-8,5,-2,-1,16,22,1023,22,0.0,0.0,5.5,-5,77,1,19193
2020-02-26,-2,-2,-8,-11,-11,6,-5,-5,11,340,1029,14,0.0,0.0,11.1,-12,59,2,19193
2020-02-27,1,1,-4,-5,-5,6,-2,-2,5,239,1022,7,0.0,0.0,5.5,-7,69,1,19193
2020-02-28,3,3,-1,-3,-3,4,0,1,6,114,1022,9,0.6,0.3,5.6,-2,87,1,19193
2020-02-29,12,12,-1,1,1,6,5,5,13,191,1015,21,0.0,0.0,8.6,0,76,2,19193
2020-03-01,11,11,3,3,3,6,7,7,11,333,1008,17,0.0,0.0,10.1,1,71,2,19193
2020-03-02,7,7,-2,-1,-1,6,3,3,9,253,1011,13,0.0,0.0,11.6,-4,65,2,19193
2020-03-03,10,10,1,2,2,6,6,6,12,292,1006,18,0.3,0.0,8.7,-1,64,2,19193
2020-03-04,13,13,1,5,5,5,7,7,9,258,1013,14,0.0,0.0,11.6,0,66,3,19193
2020-03-05,7,7,1,0,0,6,5,6,22,309,1020,30,0.0,0.0,11.6,-3,57,3,19193
2020-03-06,9,9,-3,-1,-1,6,2,3,8,159,1031,13,0.0,0.0,11.6,-5,63,2,19193
2020-03-07,16,16,4,7,7,6,10,10,18,191,1018,28,0.0,0.0,10.2,0,51,3,19193
2020-03-08,18,18,9,11,11,6,13,13,17,191,1010,27,0.0,0.0,11.6,5,60,4,19193
2020-03-09,5,5,0,-1,-1,4,4,3,12,237,1017,17,4.8,1.2,5.9,0,77,1,19193
2020-03-10,6,6,-2,-1,-1,5,2,2,7,182,1023,10,1.0,0.0,7.3,-3,73,1,19193
2020-03-11,14,14,-1,4,4,6,6,7,8,197,1014,14,0.0,0.0,11.6,1,72,3,19193
2020-03-12,12,12,3,6,6,6,9,10,17,327,1008,26,0.2,0.0,7.4,3,64,2,19193
2020-03-13,7,7,-1,0,0,6,3,4,6,332,1027,10,0.1,0.0,7.4,-6,53,1,19193
2020-03-14,2,2,-2,-4,-4,3,0,0,11,79,1034,15,8.8,7.2,6.0,-2,85,1,19193
2020-03-15,3,3,-3,-4,-4,6,0,1,8,150,1035,11,0.3,0.2,8.8,-3,79,1,19193
2020-03-16,7,7,-1,-1,-1,5,2,3,7,246,1025,10,0.1,0.1,6.0,0,85,1,19193
2020-03-17,7,7,-2,0,0,6,3,3,7,192,1025,10,0.0,0.0,11.6,-2,69,2,19193
2020-03-18,11,11,5,6,6,4,8,8,7,140,1015,10,0.1,0.0,6.0,6,89,2,19193
2020-03-19,10,10,1,4,4,4,7,9,14,42,1009,20,13.9,0.0,6.0,6,93,2,19193
2020-03-20,-3,-3,-9,-12,-12,5,-5,-6,14,345,1034,19,5.4,0.2,11.6,-9,74,2,19193
2020-03-21,4,4,-6,-5,-5,6,-1,-1,8,175,1032,12,0.0,0.0,11.6,-7,67,2,19193
2020-03-22,8,8,-1,-2,-2,5,3,4,11,168,1021,18,0.0,0.0,8.8,0,83,1,19193
2020-03-23,9,9,2,3,3,4,5,6,7,181,1019,11,1.1,0.0,6.1,4,89,2,19193
2020-03-24,13,13,5,5,5,5,8,8,11,164,1013,16,0.0,0.0,6.1,6,87,2,19193
2020-03-25,15,15,8,10,10,6,12,12,11,188,1008,15,0.5,0.0,6.1,7,87,3,19193
2020-03-26,9,9,3,3,3,6,6,6,9,56,1011,12,0.1,0.0,7.5,3,84,2,19193
2020-03-27,9,9,6,5,5,6,7,7,8,92,1008,12,0.1,0.0,6.2,5,88,2,19193
2020-03-28,11,11,5,5,5,3,8,9,14,54,999,21,22.9,0.0,6.2,7,93,2,19193
2020-03-29,12,12,3,3,3,6,7,7,16,307,1012,22,0.0,0.0,11.6,0,63,3,19193
2020-03-30,15,15,3,8,8,6,9,10,7,110,1022,12,0.0,0.0,11.6,1,57,4,19193
2020-03-31,15,15,6,9,9,6,11,11,9,152,1016,15,0.8,0.0,8.9,3,60,3,19193
2020-04-01,20,20,7,11,11,5,13,13,15,171,1010,22,4.1,0.0,10.3,7,70,3,19193
2020-04-02,13,13,1,7,7,5,10,11,12,245,1012,17,6.4,0.0,6.2,6,83,3,19193
2020-04-03,4,4,-4,-7,-7,6,-1,0,14,328,1024,18,0.1,0.2,10.3,-6,67,1,19193
2020-04-04,9,9,-4,-1,-1,6,2,3,6,125,1024,10,0.0,0.0,11.6,-8,51,2,19193
2020-04-05,13,13,1,4,4,6,7,8,11,168,1018,18,0.0,0.0,11.6,1,66,3,19193
2020-04-06,17,17,9,11,11,6,13,13,10,176,1009,14,0.1,0.0,6.5,10,86,3,19193
2020-04-07,22,22,12,16,16,5,17,18,8,308,1005,13,0.0,0.0,11.6,11,71,5,19193
2020-04-08,14,14,7,11,11,6,12,13,12,224,1011,16,0.4,0.0,11.6,5,60,3,19193
2020-04-09,6,6,0,-1,-1,6,4,5,16,321,1019,22,0.0,0.0,11.6,-6,48,2,19193
2020-04-10,11,11,-2,1,1,6,4,5,9,208,1018,13,0.0,0.0,11.6,-6,49,3,19193
2020-04-11,14,14,5,6,6,5,8,10,9,185,1006,14,3.9,0.0,9.2,4,73,2,19193
2020-04-12,1,1,-4,-6,-6,3,1,0,21,121,1011,29,6.9,0.0,6.8,-1,86,1,19193
2020-04-13,0,0,-8,-10,-10,5,-4,-3,13,285,1022,20,0.4,0.1,10.4,-8,72,1,19193
2020-04-14,1,1,-8,-8,-8,6,-4,-3,8,278,1023,13,0.0,0.0,11.6,-8,71,2,19193
2020-04-15,3,3,-7,-4,-4,5,-2,-1,4,48,1022,6,0.2,0.0,9.2,-6,75,1,19193
2020-04-16,3,3,-4,-2,-2,4,0,0,5,63,1026,7,3.8,3.0,6.8,-4,78,1,19193
2020-04-17,9,9,-3,1,1,5,3,4,7,271,1020,11,0.6,0.7,9.2,-3,65,1,19193
2020-04-18,19,19,2,7,7,6,10,11,12,243,1009,19,0.0,0.0,11.6,2,60,4,19193
2020-04-19,13,13,5,7,7,6,9,9,7,123,1012,11,0.0,0.0,10.4,2,64,3,19193
2020-04-20,18,18,6,11,11,5,12,13,10,278,1009,14,1.2,0.0,11.6,4,64,3,19193
2020-04-21,19,19,5,11,11,6,12,12,6,229,1013,10,0.0,0.0,11.6,4,62,4,19193
2020-04-22,24,24,13,17,17,6,18,20,12,277,1006,19,0.0,0.0,11.6,8,56,5,19193
2020-04-23,22,22,11,16,16,6,17,18,5,248,1004,8,2.9,0.0,10.4,7,60,4,19193
2020-04-24,16,16,9,12,12,6,13,13,9,145,1009,13,0.7,0.0,6.9,9,79,3,19193
2020-04-25,17,17,8,13,13,6,13,14,5,316,1016,8,1.7,0.0,9.3,6,66,3,19193
2020-04-26,20,20,7,13,13,6,13,14,6,245,1018,10,0.0,0.0,11.6,6,62,4,19193
2020-04-27,23,23,11,16,16,6,18,18,8,301,1012,14,0.5,0.0,11.6,9,62,5,19193
2020-04-28,19,19,13,16,16,5,17,17,15,313,1007,21,4.9,0.0,10.4,10,69,4,19193
2020-04-29,17,17,10,11,11,4,13,14,16,353,1014,22,3.4,0.0,9.3,7,70,3,19193
2020-04-30,20,20,8,13,13,6,14,15,6,111,1015,10,0.0,0.0,11.6,5,59,3,19193
2020-05-01,27,27,13,19,19,6,20,20,13,228,1007,20,0.0,0.0,11.6,11,59,6,19193
2020-05-02,19,19,14,16,16,4,17,17,7,305,1015,12,2.2,0.0,9.3,10,66,4,19193
2020-05-03,22,22,11,16,16,6,16,17,5,260,1016,7,0.0,0.0,11.6,8,63,5,19193
2020-05-04,14,14,11,10,10,5,12,13,13,129,1014,19,21.9,0.0,8.2,9,79,3,19193
2020-05-05,11,11,7,6,6,5,9,10,14,222,1016,20,14.7,0.0,8.2,6,82,2,19193
2020-05-06,14,14,5,8,8,5,9,10,7,326,1024,11,0.2,0.0,9.3,5,76,3,19193
2020-05-07,12,12,4,8,8,5,9,10,4,220,1019,7,10.7,0.0,7.1,6,80,3,19193
2020-05-08,11,11,2,4,4,6,7,7,11,343,1025,15,2.6,0.0,11.6,0,60,3,19193
2020-05-09,16,16,5,6,6,6,8,10,13,248,1020,18,3.6,0.0,9.4,3,69,3,19193
2020-05-10,10,10,1,1,1,5,6,6,16,325,1026,21,0.2,0.0,11.6,-1,65,2,19193
2020-05-11,10,10,1,4,4,6,6,7,7,328,1027,11,0.0,0.0,7.1,-1,62,2,19193
2020-05-12,14,14,4,8,8,6,9,10,7,123,1023,10,0.0,0.0,11.6,1,57,3,19193
2020-05-13,10,10,2,6,6,5,9,9,11,157,1014,16,0.2,0.0,7.2,7,85,2,19193
