date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,fips
2019-01-01,-4,-4,-9,-12,-12,6,-6,-6,12,11,1030,15,0.0,0.0,9.9,-11,66,2,40011
2019-01-02,1,1,-8,-5,-5,6,-4,-4,4,280,1027,4,0.0,0.0,9.9,-10,61,1,40011
2019-01-03,2,2,-5,-3,-3,2,-1,-1,4,120,1020,7,22.4,4.5,4.9,-4,80,1,40011
2019-01-04,9,9,-3,2,2,5,4,3,6,294,1016,16,7.1,5.2,9.9,-1,79,1,40011
2019-01-05,14,14,-1,6,6,6,7,7,6,217,1016,15,0.0,0.0,9.9,2,81,3,40011
2019-01-06,13,13,4,6,6,6,9,8,13,200,1010,30,0.0,0.0,8.3,5,76,2,40011
2019-01-07,13,13,8,11,11,6,12,11,11,255,1014,23,0.0,0.0,9.9,5,66,4,40011
2019-01-08,11,11,3,6,6,6,7,8,8,11,1026,17,0.0,0.0,9.9,0,60,3,40011
2019-01-09,8,8,-1,2,2,6,4,5,5,207,1033,10,0.0,0.0,9.9,-1,71,2,40011
2019-01-10,8,8,2,4,4,6,6,6,11,183,1024,21,0.0,0.0,9.9,2,77,3,40011
2019-01-11,7,7,4,4,4,4,6,6,6,163,1019,18,19.1,0.0,5.0,6,99,2,40011
2019-01-12,7,7,1,1,1,3,5,4,10,348,1022,22,4.8,0.8,5.0,3,91,1,40011
2019-01-13,2,2,0,-1,-1,6,1,1,5,127,1031,12,0.0,0.0,10.0,1,90,2,40011
2019-01-14,7,7,-2,1,1,6,4,3,7,219,1029,10,0.0,0.0,10.0,2,89,2,40011
2019-01-15,10,10,0,4,4,6,6,7,10,205,1021,18,0.0,0.0,10.0,4,85,3,40011
2019-01-16,10,10,1,4,4,4,6,6,9,189,1017,14,0.0,0.0,10.0,5,92,2,40011
2019-01-17,11,11,1,4,4,6,6,6,6,328,1019,13,0.0,0.0,10.0,4,88,3,40011
2019-01-18,11,11,4,6,6,6,8,8,13,205,1010,25,0.2,0.0,8.3,5,85,2,40011
2019-01-19,0,0,-6,-9,-9,4,-2,-3,20,349,1024,28,0.4,0.0,10.1,-6,74,2,40011
2019-01-20,8,8,-7,-3,-3,6,0,0,7,213,1026,14,0.0,0.0,10.1,-5,69,2,40011
2019-01-21,13,13,2,5,5,6,8,7,18,184,1009,31,0.0,0.0,10.1,2,68,3,40011
2019-01-22,7,7,0,-1,-1,6,4,4,20,289,1011,32,0.0,0.0,10.0,0,77,1,40011
2019-01-23,6,6,-4,-4,-4,6,1,1,9,310,1023,18,0.0,0.0,10.1,-6,61,2,40011
2019-01-24,5,5,-2,-4,-4,6,0,1,11,13,1024,16,0.0,0.0,5.1,-5,66,1,40011
2019-01-25,5,5,-4,-5,-5,4,0,0,9,227,1027,13,1.4,0.9,8.3,-5,70,1,40011
2019-01-26,9,9,-3,0,0,6,3,3,8,258,1024,17,0.0,0.0,10.0,-3,70,2,40011
2019-01-27,13,13,1,3,3,6,6,6,10,258,1018,20,0.0,0.0,10.2,-2,61,3,40011
2019-01-28,4,4,2,-2,-2,6,3,3,16,127,1018,26,0.0,0.0,10.0,-4,58,1,40011
2019-01-29,5,5,-6,-4,-4,6,0,-1,9,270,1026,12,0.0,0.0,10.2,-10,53,2,40011
2019-01-30,3,3,-6,-6,-6,6,-1,-2,10,135,1023,15,0.0,0.0,10.2,-7,64,2,40011
2019-01-31,8,8,-2,0,0,6,3,4,7,201,1017,14,0.0,0.0,8.5,-1,78,1,40011
2019-02-01,8,8,-1,4,4,4,4,4,4,101,1020,10,0.2,0.0,5.3,4,95,1,40011
2019-02-02,15,15,9,12,12,5,12,12,14,194,1013,24,0.4,0.0,6.9,10,90,3,40011
2019-02-03,18,18,10,14,14,6,14,13,18,196,1005,31,0.0,0.0,10.7,10,78,4,40011
2019-02-04,12,12,8,10,10,6,11,10,11,147,1009,20,0.0,0.0,10.7,5,68,4,40011
2019-02-05,11,11,0,2,2,6,4,4,7,94,1012,10,0.1,0.0,10.7,-1,70,2,40011
2019-02-06,24,24,9,13,13,4,14,16,12,220,1005,20,0.7,0.0,10.0,5,61,4,40011
2019-02-07,3,3,0,0,0,6,4,2,16,335,1019,22,0.0,0.0,10.8,-9,40,2,40011
2019-02-08,-1,-1,-10,-9,-9,6,-5,-6,6,81,1039,12,0.0,0.0,10.8,-14,51,2,40011
2019-02-09,2,2,-6,-7,-7,12,-2,-2,10,157,1033,16,0.0,0.0,10.1,-8,64,2,40011
2019-02-10,5,5,1,-2,-2,8,2,3,11,206,1021,17,0.0,0.0,8.5,1,91,1,40011
2019-02-11,13,13,3,5,5,7,7,8,11,206,1007,18,6.5,0.0,8.5,5,93,2,40011
2019-02-12,11,11,-2,1,1,6,5,5,12,321,1021,19,2.9,0.0,10.9,-5,54,3,40011
2019-02-13,13,13,3,6,6,8,8,9,19,211,1014,35,0.0,0.0,10.9,-2,51,3,40011
2019-02-14,17,17,8,13,13,8,14,13,13,209,1004,24,0.0,0.0,10.1,2,50,3,40011
2019-02-15,0,0,-1,-5,-5,6,0,-1,14,36,1012,16,0.6,0.0,10.1,-4,78,1,40011
2019-02-16,1,1,-7,-8,-8,9,-3,-3,9,142,1011,11,0.0,0.0,10.1,-5,83,1,40011
2019-02-17,5,5,-3,-4,-4,9,1,2,10,347,1015,14,0.0,0.0,11.0,-5,71,2,40011
2019-02-18,-1,-1,-8,-10,-10,6,-4,-4,13,41,1028,16,0.0,0.0,11.0,-9,68,2,40011
2019-02-19,-1,-1,-6,-8,-8,3,-3,-4,10,72,1024,12,9.3,7.7,5.5,-5,87,1,40011
2019-02-20,5,5,-5,-3,-3,5,0,0,8,252,1014,15,0.3,0.3,11.1,-3,87,2,40011
2019-02-21,9,9,-1,0,0,6,4,4,10,150,1016,20,0.0,0.0,10.1,1,83,1,40011
2019-02-22,5,5,1,1,1,3,4,3,6,99,1016,12,1.6,0.0,5.5,4,99,1,40011
2019-02-23,9,9,1,2,2,9,6,7,16,250,1007,26,1.9,0.0,8.6,3,79,2,40011
2019-02-24,9,9,-3,1,1,6,4,4,7,116,1025,15,0.0,0.0,10.1,-3,62,2,40011
2019-02-25,11,11,-1,4,4,6,6,6,12,181,1023,22,0.0,0.0,10.1,0,69,2,40011
2019-02-26,12,12,3,5,5,4,8,8,12,124,1022,13,0.8,0.0,5.6,4,81,2,40011
2019-02-27,2,2,-3,-3,-3,5,2,1,12,10,1027,16,0.2,0.0,5.6,-4,67,1,40011
2019-02-28,6,6,-5,-4,-4,6,1,1,8,235,1026,10,0.0,0.0,10.1,-3,76,1,40011
2019-03-01,7,7,-1,-1,-1,6,3,4,11,195,1022,7,0.0,0.0,10.1,-2,73,1,40011
2019-03-02,4,4,-2,-3,-3,6,1,0,11,46,1025,13,0.0,0.0,7.1,-5,67,1,40011
2019-03-03,-2,-2,-11,-9,-9,3,-4,-4,13,12,1025,22,1.3,0.0,5.7,-7,71,1,40011
2019-03-04,-3,-3,-11,-12,-12,6,-6,-7,9,122,1030,13,0.0,0.0,8.6,-13,62,1,40011
2019-03-05,5,5,-9,-8,-8,6,-3,-1,8,333,1034,12,0.0,0.0,11.6,-13,48,2,40011
2019-03-06,11,11,-5,-2,-2,6,2,4,13,188,1027,20,0.0,0.0,11.6,-8,46,2,40011
2019-03-07,19,19,3,7,7,6,10,11,11,238,1013,19,0.0,0.0,10.2,1,60,3,40011
2019-03-08,14,14,2,5,5,6,7,7,8,57,1011,14,0.1,0.0,8.8,5,85,2,40011
2019-03-09,20,20,11,14,14,6,16,17,18,290,1004,30,2.3,0.0,11.6,3,51,5,40011
2019-03-10,11,11,3,3,3,6,6,7,10,67,1022,14,1.0,0.0,11.6,-2,58,3,40011
2019-03-11,14,14,4,6,6,3,8,8,5,95,1025,7,3.7,0.0,5.9,5,85,2,40011
2019-03-12,15,15,7,10,10,4,12,13,11,164,1017,18,25.7,0.0,6.0,12,94,3,40011
2019-03-13,20,20,13,16,16,4,16,16,26,211,993,38,18.2,0.0,8.8,8,61,4,40011
2019-03-14,13,13,6,5,5,6,9,10,19,311,1011,27,0.0,0.0,11.6,-2,46,3,40011
2019-03-15,12,12,1,4,4,6,7,7,11,351,1030,17,0.0,0.0,11.6,-5,45,3,40011
2019-03-16,16,16,2,6,6,6,8,9,8,215,1030,13,0.0,0.0,10.2,-3,49,2,40011
2019-03-17,19,19,5,9,9,12,11,12,10,219,1026,17,0.0,0.0,11.6,0,47,4,40011
2019-03-18,19,19,5,11,11,12,12,13,6,223,1026,11,0.0,0.0,11.6,0,46,4,40011
2019-03-19,20,20,7,12,12,5,14,14,13,213,1021,21,2.3,0.0,10.2,3,54,4,40011
2019-03-20,16,16,6,9,9,5,11,11,8,319,1024,12,9.6,0.0,11.6,3,62,4,40011
2019-03-21,18,18,6,10,10,6,11,12,7,19,1022,12,0.0,0.0,11.6,2,53,4,40011
2019-03-22,20,20,7,12,12,6,13,14,9,150,1019,15,0.3,0.0,11.6,5,60,4,40011
2019-03-23,22,22,12,15,15,5,16,17,13,222,1013,20,10.9,0.0,8.8,10,72,4,40011
2019-03-24,20,20,9,14,14,6,15,15,7,233,1016,11,0.0,0.0,10.2,8,68,3,40011
2019-03-25,18,18,6,11,11,6,12,13,9,10,1024,13,0.0,0.0,11.6,6,76,4,40011
2019-03-26,19,19,5,11,11,6,12,12,6,163,1027,9,0.0,0.0,11.6,6,72,4,40011
2019-03-27,22,22,10,14,14,6,16,16,17,196,1021,26,0.2,0.0,8.9,9,67,4,40011
2019-03-28,25,25,16,19,19,11,20,20,21,198,1012,31,1.3,0.0,11.6,14,71,5,40011
2019-03-29,17,17,10,14,14,11,15,15,7,235,1010,12,4.0,0.0,6.1,13,90,4,40011
2019-03-30,12,12,5,5,5,12,8,9,17,10,1022,24,0.1,0.0,6.2,3,72,2,40011
2019-03-31,10,10,-2,1,1,6,4,5,7,39,1031,11,0.0,0.0,11.6,-6,51,2,40011
2019-04-01,13,13,3,6,6,5,8,8,7,209,1024,10,0.4,0.0,10.2,-2,51,2,40011
2019-04-02,20,20,5,10,10,6,12,14,13,202,1018,22,0.0,0.0,11.6,3,54,4,40011
2019-04-03,18,18,10,12,12,6,14,14,20,178,1014,29,1.7,0.0,6.2,8,69,3,40011
2019-04-04,20,20,13,16,16,5,17,17,11,238,1013,16,9.1,0.0,8.9,12,80,4,40011
2019-04-05,23,23,11,16,16,5,17,18,9,174,1015,14,0.0,0.0,10.3,12,76,4,40011
2019-04-06,20,20,15,16,16,4,17,17,10,168,1011,19,20.9,0.0,6.4,14,83,4,40011
2019-04-07,24,24,13,18,18,5,19,20,9,111,1012,15,0.0,0.0,11.6,13,73,5,40011
