date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,fips
2019-01-01,7,7,-1,-1,-1,4,3,3,15,296,1010,21,8.1,0.2,3.4,0,82,1,36095
2019-01-02,-2,-2,-9,-8,-8,6,-5,-4,6,224,1024,6,0.0,0.0,8.7,-10,60,2,36095
2019-01-03,2,2,-3,-4,-4,3,0,0,9,289,1014,15,1.7,1.4,3.4,-3,74,1,36095
2019-01-04,3,3,-2,-2,-2,5,2,2,7,221,1010,10,0.1,0.1,8.7,-3,73,2,36095
2019-01-05,3,3,0,0,0,4,2,2,5,222,1004,8,9.2,1.2,3.4,0,86,1,36095
2019-01-06,2,2,-2,-4,-4,2,1,1,11,310,1016,18,1.6,1.2,3.4,-4,74,1,36095
2019-01-07,-3,-3,-8,-8,-8,5,-5,-6,6,167,1028,8,0.2,0.1,5.2,-14,51,1,36095
2019-01-08,6,6,0,-3,-3,4,1,3,9,182,1011,11,10.8,1.1,8.7,-1,81,1,36095
2019-01-09,0,0,-4,-6,-6,1,-1,-2,8,289,1006,20,14.2,3.4,3.4,-2,89,1,36095
2019-01-10,-4,-4,-7,-11,-11,0,-4,-5,13,302,1014,21,1.6,0.0,3.4,-8,76,1,36095
2019-01-11,-8,-8,-11,-17,-17,5,-10,-10,13,291,1024,16,0.1,0.0,6.9,-16,63,2,36095
2019-01-12,-5,-5,-11,-12,-12,6,-8,-8,5,286,1034,7,0.0,0.0,8.7,-14,64,2,36095
2019-01-13,-5,-5,-13,-12,-12,6,-10,-8,3,49,1032,4,0.0,0.0,5.2,-16,62,1,36095
2019-01-14,-3,-3,-15,-11,-11,6,-9,-7,3,315,1024,4,0.0,0.0,8.7,-15,64,2,36095
2019-01-15,-3,-3,-11,-9,-9,6,-5,-5,6,282,1019,7,0.0,0.0,3.5,-9,74,1,36095
2019-01-16,-2,-2,-5,-8,-8,5,-3,-3,9,274,1017,14,0.5,0.3,3.5,-8,72,1,36095
2019-01-17,-6,-6,-10,-12,-12,6,-8,-8,5,202,1025,5,0.0,0.0,5.2,-14,59,1,36095
2019-01-18,0,0,-4,-6,-6,2,-1,-1,7,224,1017,8,1.7,1.2,3.5,-5,77,1,36095
2019-01-19,-5,-5,-8,-10,-10,4,-6,-7,5,84,1023,6,8.8,5.3,3.5,-9,76,1,36095
2019-01-20,-8,-8,-12,-17,-17,2,-10,-9,12,203,1004,15,53.0,39.8,3.5,-13,79,1,36095
