iter	Passed	Remaining
0	59	59413
1	115	57652
2	179	59726
3	236	58885
4	293	58409
5	341	56639
6	402	57126
7	461	57233
8	509	56073
9	556	55057
10	610	54847
11	656	54063
12	709	53836
13	754	53129
14	798	52465
15	850	52282
16	894	51730
17	953	52015
18	1005	51937
19	1062	52082
20	1114	51971
21	1157	51477
22	1203	51116
23	1247	50712
24	1291	50372
25	1346	50430
26	1393	50206
27	1443	50102
28	1490	49902
29	1538	49737
30	1584	49527
31	1629	49287
32	1680	49256
33	1724	48985
34	1769	48787
35	1825	48875
36	1870	48673
37	1916	48526
38	1961	48333
39	2009	48238
40	2055	48076
41	2098	47876
42	2142	47682
43	2198	47775
44	2244	47635
45	2293	47557
46	2338	47410
47	2384	47291
48	2431	47197
49	2477	47070
50	2530	47091
51	2580	47045
52	2628	46970
53	2673	46841
54	2718	46713
55	2766	46639
56	2821	46675
57	2870	46613
58	2921	46600
59	2981	46706
60	3029	46641
61	3076	46552
62	3125	46489
63	3169	46359
64	3215	46246
65	3259	46130
66	3308	46071
67	3353	45962
68	3405	45949
69	3463	46020
70	3513	45974
71	3559	45881
72	3616	45928
73	3665	45864
74	3726	45961
75	3772	45867
76	3817	45761
77	3869	45744
78	3913	45621
79	3958	45528
80	4008	45479
81	4055	45397
82	4099	45290
83	4144	45191
84	4190	45108
85	4236	45025
86	4286	44980
87	4330	44882
88	4375	44786
89	4422	44714
90	4478	44733
91	4526	44670
92	4576	44634
93	4630	44630
94	4679	44577
95	4725	44500
96	4775	44457
97	4820	44369
98	4871	44331
99	4928	44356
100	4979	44318
101	5025	44243
102	5081	44249
103	5128	44182
104	5177	44131
105	5226	44081
106	5275	44026
107	5340	44112
108	5388	44049
109	5433	43964
110	5481	43904
111	5529	43843
112	5576	43776
113	5626	43731
114	5676	43686
115	5724	43622
116	5771	43560
117	5833	43604
118	5890	43606
119	5937	43543
120	5978	43431
121	6026	43367
122	6071	43287
123	6118	43223
124	6163	43142
125	6223	43172
126	6279	43166
127	6325	43094
128	6370	43011
129	6418	42952
130	6465	42891
131	6513	42833
132	6575	42867
133	6618	42773
134	6662	42690
135	6715	42665
136	6758	42576
137	6806	42515
138	6852	42443
139	6911	42456
140	6967	42444
141	7013	42377
142	7057	42294
143	7111	42271
144	7150	42165
145	7200	42116
146	7242	42027
147	7295	41995
148	7341	41929
149	7391	41887
150	7436	41810
151	7478	41721
152	7529	41680
153	7576	41620
154	7624	41566
155	7669	41494
156	7710	41403
157	7755	41327
158	7806	41293
159	7850	41213
160	7893	41133
161	7939	41070
162	7985	41003
163	8026	40917
164	8070	40840
165	8114	40766
166	8161	40711
167	8209	40654
168	8255	40593
169	8300	40528
170	8345	40457
171	8389	40387
172	8434	40318
173	8488	40297
174	8542	40270
175	8602	40274
176	8649	40215
177	8703	40190
178	8750	40136
179	8807	40121
180	8853	40061
181	8904	40021
182	8964	40022
183	9012	39967
184	9057	39900
185	9102	39833
186	9148	39773
187	9195	39715
188	9249	39689
189	9295	39626
190	9361	39652
191	9410	39602
192	9457	39543
193	9502	39478
194	9549	39421
195	9597	39369
196	9643	39307
197	9694	39269
198	9746	39228
199	9789	39159
200	9840	39117
201	9884	39047
202	9931	38991
203	9975	38922
204	10032	38908
205	10079	38848
206	10123	38781
207	10172	38732
208	10217	38669
209	10263	38609
210	10304	38533
211	10349	38468
212	10409	38461
213	10459	38417
214	10517	38402
215	10572	38373
216	10616	38306
217	10667	38267
218	10715	38214
219	10770	38187
220	10824	38156
221	10867	38085
222	10913	38025
223	10977	38028
224	11025	37977
225	11081	37950
226	11124	37882
227	11170	37821
228	11210	37743
229	11259	37694
230	11305	37637
231	11351	37578
232	11398	37521
233	11464	37527
234	11512	37476
235	11567	37447
236	11615	37393
237	11669	37360
238	11714	37300
239	11759	37239
240	11804	37176
241	11851	37121
242	11895	37058
243	11944	37007
244	11989	36946
245	12034	36886
246	12079	36825
247	12125	36766
248	12170	36706
249	12213	36640
250	12256	36572
251	12298	36506
252	12343	36445
253	12398	36413
254	12443	36355
255	12489	36297
256	12543	36264
257	12587	36201
258	12644	36175
259	12690	36118
260	12737	36064
261	12803	36066
262	12855	36024
263	12905	35977
264	12958	35940
265	13016	35918
266	13066	35872
267	13116	35826
268	13158	35756
269	13199	35688
270	13247	35635
271	13296	35586
272	13346	35542
273	13396	35495
274	13451	35463
275	13498	35409
276	13547	35360
277	13599	35318
278	13657	35293
279	13706	35246
280	13749	35180
281	13796	35127
282	13850	35092
283	13913	35077
284	13972	35053
285	14015	34990
286	14061	34932
287	14121	34912
288	14168	34857
289	14233	34848
290	14280	34792
291	14333	34752
292	14384	34709
293	14432	34657
294	14483	34612
295	14530	34558
296	14584	34521
297	14627	34456
298	14675	34407
299	14732	34375
300	14777	34317
301	14824	34263
302	14872	34212
303	14918	34155
304	14972	34117
305	15020	34067
306	15071	34022
307	15120	33972
308	15169	33921
309	15225	33889
