iter	RMSE
277	2.361075814
278	2.360437836
279	2.35964597
280	2.358743316
281	2.357790225
282	2.357156043
283	2.355929961
284	2.354829143
285	2.353417538
286	2.352257272
287	2.3505398
288	2.349910403
289	2.348567392
290	2.347607613
291	2.345807736
292	2.345056894
293	2.344340319
294	2.343512285
295	2.342775359
296	2.340278355
297	2.339222817
298	2.337768005
299	2.335555924
300	2.333609427
301	2.331864529
302	2.330046207
303	2.329265755
304	2.328617619
305	2.326968944
306	2.325840383
307	2.323864261
308	2.322499263
309	2.321742847
310	2.319694004
311	2.317330732
312	2.316580711
313	2.316301217
314	2.315614102
315	2.314085422
316	2.313632981
317	2.312108494
318	2.31117159
319	2.310552976
320	2.308934029
321	2.308162351
322	2.307452005
323	2.305179905
324	2.304108809
325	2.303427019
326	2.303043469
327	2.302318094
328	2.301348206
329	2.300326983
330	2.299987588
331	2.299354585
332	2.298410289
333	2.296824486
334	2.295902152
335	2.295169708
336	2.294046954
337	2.29373562
338	2.292298959
339	2.291495595
340	2.287871927
341	2.286057572
342	2.285153373
343	2.283795511
344	2.281190699
345	2.280031371
346	2.279343643
347	2.27840338
348	2.276656555
349	2.275343947
350	2.274177733
351	2.273154548
352	2.271822904
353	2.270536365
354	2.269401848
355	2.268489635
356	2.266375809
357	2.264486139
358	2.263721685
359	2.2629086
360	2.261483988
361	2.260121996
362	2.258078689
363	2.25735758
364	2.256200689
365	2.255284094
366	2.254203773
367	2.253155323
368	2.25255701
369	2.251804177
370	2.251313843
371	2.250822655
372	2.249692814
373	2.248440269
374	2.247034155
375	2.246113712
376	2.244765172
377	2.243628858
378	2.242846163
379	2.241464706
380	2.240963218
381	2.239465477
382	2.239021116
383	2.23785142
384	2.236122729
385	2.23587301
386	2.235212292
387	2.233467907
388	2.232855825
389	2.23202913
390	2.230892784
391	2.22901665
392	2.227808298
393	2.227276682
394	2.226074611
395	2.225135141
396	2.224673243
397	2.223330162
398	2.222485233
399	2.221930412
400	2.221079223
401	2.220486213
402	2.21975365
403	2.2189687
404	2.218232065
405	2.217423409
406	2.21679531
407	2.21631586
408	2.215580293
409	2.215097545
410	2.214856511
411	2.214349431
412	2.213676324
413	2.213176566
414	2.211948057
415	2.210742754
416	2.20987509
417	2.208590725
418	2.2073626
419	2.20702555
420	2.206107131
421	2.205732234
422	2.204157406
423	2.203260455
424	2.202018564
425	2.199421245
426	2.198525746
427	2.197880123
428	2.196964437
429	2.196336608
430	2.195635019
431	2.194573683
432	2.193962786
433	2.192773434
434	2.191829438
435	2.191039196
436	2.189736439
437	2.188847616
438	2.187883384
439	2.187270618
440	2.186203245
441	2.185101734
442	2.18383094
443	2.183071341
444	2.181610001
445	2.181392448
446	2.180880009
447	2.180336291
448	2.179490445
449	2.179078691
450	2.178551493
451	2.177538937
452	2.176134995
453	2.175356487
454	2.174722972
455	2.174390248
456	2.173798636
457	2.171872519
458	2.170755663
459	2.169839483
460	2.168894693
461	2.168105724
462	2.167096706
463	2.166639497
464	2.164936773
465	2.164221789
466	2.163599548
467	2.163076345
468	2.162586984
469	2.160697758
470	2.160100618
471	2.159070736
472	2.15852575
473	2.156823744
474	2.155938611
475	2.15517063
476	2.154152878
477	2.152624177
478	2.152030821
479	2.150289401
480	2.149626275
481	2.149390073
482	2.148673491
483	2.148199957
484	2.1474775
485	2.146645434
486	2.146031744
487	2.145423137
488	2.144751903
489	2.143909374
490	2.14259275
491	2.140078443
492	2.139187391
493	2.138357713
494	2.137592961
495	2.137037667
496	2.136508859
497	2.136158495
498	2.135503235
499	2.13445215
500	2.134096724
501	2.133121135
502	2.132285493
503	2.130861087
504	2.13032759
505	2.129513398
506	2.128327507
507	2.127979406
508	2.127269378
509	2.126792546
510	2.126135302
511	2.125203275
512	2.124275585
513	2.123643788
514	2.123046855
515	2.122700602
516	2.12204752
517	2.121166323
518	2.120065329
519	2.119442923
520	2.119172659
521	2.117945728
522	2.117085388
523	2.116291056
524	2.115618636
525	2.11519059
526	2.114299949
527	2.114000638
528	2.113543756
529	2.112954876
530	2.112566516
531	2.112192064
532	2.111244672
533	2.110298333
534	2.109635609
535	2.109066581
536	2.108136459
537	2.107868731
538	2.106629861
539	2.105567783
540	2.105066307
541	2.104596193
542	2.103806503
543	2.103076786
544	2.10270932
545	2.100907481
546	2.100343403
547	2.09953359
548	2.09903479
549	2.098434403
550	2.097737491
551	2.097052825
552	2.096516107
553	2.09475902
554	2.093803969
555	2.093361027
556	2.092703033
557	2.091773324
558	2.09118302
559	2.090762831
560	2.090139165
561	2.08971417
562	2.089341253
563	2.088003671
564	2.086999289
565	2.08642984
566	2.086026876
567	2.085703136
568	2.085078072
569	2.084485642
570	2.084035651
571	2.083242545
572	2.082552538
573	2.081806031
574	2.081277261
575	2.080874106
576	2.080399102
577	2.079443805
578	2.078776326
579	2.07846624
580	2.077201514
581	2.076231449
582	2.075851368
583	2.074684442
584	2.074353261
585	2.073787517
586	2.072945328
587	2.072384644
588	2.071959599
589	2.071452073
590	2.07123454
591	2.07056627
592	2.070377167
593	2.069933271
594	2.069314812
595	2.06862364
596	2.06801512
597	2.067656981
598	2.067394926
599	2.066585909
600	2.065170356
601	2.064708714
602	2.064024025
603	2.062700866
604	2.062531062
605	2.062028898
606	2.061588212
607	2.060871269
608	2.060577129
609	2.059905633
610	2.059708909
611	2.059117923
612	2.05864408
613	2.058416914
614	2.05779406
615	2.056808306
616	2.056256414
617	2.055862481
618	2.055171341
619	2.054645414
620	2.054007626
621	2.053308612
622	2.052944984
623	2.052254499
624	2.051616319
625	2.051003455
626	2.050506664
627	2.049931762
628	2.049323549
629	2.049003969
630	2.048573018
631	2.047304365
632	2.046640361
633	2.046042785
634	2.045686667
635	2.045328022
636	2.043288559
637	2.042560374
638	2.042456007
639	2.04219495
640	2.040503674
641	2.039850638
642	2.039330294
643	2.038677117
644	2.037896751
645	2.037416323
646	2.036751924
647	2.036314727
648	2.035569424
649	2.034886963
650	2.034320864
651	2.033828141
652	2.033289492
653	2.032274489
654	2.031986015
655	2.031044587
656	2.030477298
657	2.029849419
658	2.02939512
659	2.029171067
660	2.028691886
661	2.028198625
662	2.027749047
663	2.027129204
664	2.026714805
665	2.026182676
666	2.025657637
667	2.024216664
668	2.023628955
669	2.023275299
670	2.022803977
671	2.022001339
672	2.02160275
673	2.021266316
674	2.020850239
675	2.020319774
676	2.019960072
677	2.019535524
678	2.019352817
679	2.018953943
680	2.018650842
681	2.01797967
682	2.017373366
683	2.016801637
684	2.016304157
685	2.015838827
686	2.014785723
687	2.014392737
688	2.0141489
689	2.013075355
690	2.012892062
691	2.012614288
692	2.012151564
693	2.01147357
694	2.010243003
695	2.009832288
696	2.009352198
697	2.008661547
698	2.008433747
699	2.007690649
700	2.00725346
701	2.006520572
702	2.005887767
703	2.004606889
704	2.004242629
705	2.003483119
706	2.003079707
707	2.002816873
708	2.002262148
709	2.001787198
710	2.001597354
711	2.001504045
712	2.00033503
713	1.999207839
714	1.99876375
715	1.998018978
716	1.99763453
717	1.997243158
718	1.996505153
719	1.996190225
720	1.995712687
721	1.995112912
722	1.994759375
723	1.994141316
724	1.993155155
725	1.992609908
726	1.9922543
727	1.992012212
728	1.991768165
729	1.991382391
730	1.991097999
731	1.990336307
732	1.98994923
733	1.989751983
734	1.989563947
735	1.989035759
736	1.988596763
737	1.988197454
738	1.987932109
739	1.986736017
740	1.986489933
741	1.986063125
742	1.985602315
743	1.985263891
744	1.984995917
745	1.984644025
746	1.98392154
747	1.983433
748	1.983307548
749	1.982527848
750	1.98192699
751	1.98126131
752	1.980778598
753	1.980100469
754	1.97964203
755	1.97929719
756	1.978879628
757	1.978564806
758	1.978117054
759	1.977732805
760	1.977204552
761	1.976670693
762	1.976278388
763	1.975312294
764	1.974292349
765	1.973479346
766	1.972861922
767	1.972409041
768	1.971392344
769	1.970915253
770	1.970079168
771	1.969510651
772	1.968805109
773	1.968270741
774	1.967621669
775	1.967151718
776	1.966853693
777	1.966276308
778	1.965749861
779	1.96525601
780	1.964929721
781	1.964496885
782	1.964215933
783	1.963664913
784	1.963263773
785	1.962940148
786	1.962302281
787	1.962067998
788	1.961567529
789	1.960557637
790	1.960270427
791	1.959911646
792	1.959485358
793	1.958849001
794	1.957916729
795	1.95736326
796	1.956974384
797	1.956398869
798	1.955598436
799	1.955262923
800	1.954722703
801	1.954206964
802	1.953937003
803	1.953471256
804	1.952627886
805	1.952099418
806	1.951376325
807	1.951173026
808	1.950400727
809	1.949921639
810	1.949802588
811	1.949386589
812	1.949168981
813	1.948197391
814	1.947393033
815	1.946419384
816	1.946003464
817	1.94576506
818	1.945299886
819	1.944512353
820	1.943661452
821	1.943380639
822	1.942864915
823	1.942417091
824	1.942233804
825	1.94200192
826	1.941130689
827	1.940736024
828	1.940139669
829	1.939618071
830	1.938869399
831	1.938829098
832	1.938466286
833	1.938248752
834	1.937499551
835	1.937275527
836	1.936705872
837	1.936492665
838	1.936225193
839	1.935737575
840	1.935387208
841	1.935038452
842	1.934579819
843	1.934331691
844	1.933411623
845	1.93285182
846	1.932489191
847	1.932013179
848	1.931503369
849	1.930849895
850	1.930673654
851	1.930221695
852	1.929933018
853	1.929207838
854	1.928733256
855	1.927273687
856	1.927002569
857	1.925925132
858	1.925399496
859	1.925028168
860	1.924379668
861	1.923921364
862	1.923317923
863	1.923141554
864	1.922813986
865	1.922226182
866	1.921940301
867	1.921381779
868	1.920887706
869	1.920605625
870	1.920043214
871	1.919342939
872	1.918554573
873	1.918282223
874	1.917843929
875	1.917558396
876	1.916988015
877	1.916504897
878	1.916126959
879	1.915152958
880	1.914771243
881	1.914501176
882	1.914128987
883	1.913522898
884	1.913399762
885	1.913090352
886	1.912451234
887	1.911922334
888	1.911619654
889	1.911026775
890	1.910831306
891	1.910276322
892	1.909568003
893	1.909203843
894	1.908909283
895	1.908727055
896	1.908288264
897	1.908024639
898	1.907380049
899	1.906735681
900	1.906547768
901	1.906351084
902	1.90616074
903	1.905614915
904	1.905080526
905	1.904897049
906	1.904344621
907	1.904134157
908	1.903713286
909	1.903375753
910	1.90315055
911	1.902857451
912	1.902693
913	1.902250924
914	1.901967468
915	1.901858037
916	1.901667811
917	1.901408003
918	1.901063494
919	1.900716649
920	1.900469279
921	1.900059599
922	1.899678894
923	1.899372367
924	1.898773578
925	1.898437126
926	1.898056033
927	1.897702694
928	1.896943806
929	1.896670757
930	1.896428049
931	1.896085168
932	1.895636169
933	1.895174461
934	1.894319013
935	1.893968525
936	1.893828844
937	1.893596104
938	1.893098013
939	1.89292371
940	1.892556348
941	1.892173499
942	1.891756439
943	1.891424958
944	1.891065429
945	1.890464643
946	1.890066955
947	1.889522769
948	1.889326918
949	1.888755638
950	1.888469965
951	1.888093218
952	1.887837899
953	1.887568811
954	1.886904829
955	1.886645278
956	1.886346559
957	1.886021701
958	1.885573235
959	1.885192406
960	1.884892247
961	1.883934591
962	1.883633213
963	1.883306165
964	1.882864001
965	1.882469107
966	1.881942432
967	1.881377841
968	1.880934011
969	1.879631712
970	1.8792629
971	1.878887501
972	1.878430621
973	1.877958931
974	1.87751979
975	1.877191614
976	1.876965636
977	1.876598219
978	1.87640716
979	1.876087042
980	1.875908216
981	1.875444595
982	1.875243113
983	1.874883681
984	1.874555044
985	1.874192854
986	1.873757315
987	1.873676024
988	1.873291175
989	1.872909131
990	1.872488998
991	1.871891163
992	1.871460924
993	1.870959506
994	1.870548175
995	1.86988245
996	1.869382855
997	1.869001168
998	1.868753775
999	1.868324998
