iter	RMSE
0	5.400928684
1	5.019982845
2	4.750496561
3	4.559329048
4	4.374434556
5	4.235464809
6	4.118113201
7	4.023365536
8	3.954973021
9	3.878205047
10	3.831191631
11	3.76846955
12	3.725545948
13	3.687327408
14	3.642566582
15	3.593548846
16	3.565558591
17	3.536792376
18	3.504661251
19	3.476905875
20	3.445034135
21	3.425165209
22	3.409216608
23	3.390258776
24	3.374607601
25	3.35381653
26	3.338730686
27	3.327107751
28	3.310556
29	3.296242024
30	3.277021521
31	3.266609021
32	3.243785104
33	3.227394238
34	3.216269278
35	3.206964881
36	3.195561775
37	3.18211148
38	3.160857932
39	3.150573393
40	3.134284361
41	3.126383453
42	3.116600774
43	3.109962321
44	3.098228711
45	3.089454194
46	3.082200615
47	3.073630586
48	3.064061034
49	3.055234275
50	3.048245472
51	3.040655813
52	3.031747293
53	3.025625669
54	3.017763878
55	3.012974174
56	3.008459965
57	3.002764331
58	2.998570366
59	2.988336053
60	2.980490755
61	2.975003988
62	2.96838416
63	2.961745322
64	2.950175869
65	2.944248291
66	2.937245336
67	2.932100613
68	2.923043574
69	2.915595994
70	2.908757784
71	2.900609042
72	2.895917029
73	2.890018375
74	2.884115481
75	2.879882599
76	2.878345602
77	2.874881389
78	2.870947129
79	2.864380143
80	2.860313944
81	2.855376655
82	2.850295727
83	2.845093339
84	2.839963076
85	2.835014732
86	2.829554178
87	2.819482178
88	2.815745721
89	2.812484199
90	2.809431318
91	2.804092678
92	2.799091556
93	2.794826961
94	2.790690044
95	2.786046333
96	2.780571025
97	2.774056711
98	2.769466156
99	2.765082165
100	2.762478515
101	2.758078978
102	2.75304397
103	2.749410971
104	2.743941473
105	2.739924859
106	2.737345076
107	2.734198115
108	2.731735689
109	2.726289638
110	2.723478442
111	2.719189899
112	2.717071715
113	2.711428798
114	2.709392617
115	2.705859194
116	2.702340249
117	2.699884422
118	2.697067777
119	2.694703802
120	2.690933342
121	2.687099255
122	2.680995288
123	2.676399387
124	2.671743198
125	2.669236467
126	2.668309983
127	2.663536461
128	2.660775709
129	2.65661131
130	2.652578207
131	2.651429073
132	2.648080662
133	2.645433002
134	2.64241869
135	2.638865181
136	2.634929093
137	2.631882412
138	2.631207274
139	2.629058106
140	2.625571911
141	2.622376043
142	2.619548178
143	2.615786396
144	2.612720425
145	2.609750288
146	2.606829441
147	2.604360424
148	2.60058498
149	2.598551553
150	2.596782323
151	2.592720595
152	2.591460067
153	2.588586281
154	2.585832403
155	2.582153145
156	2.579592112
157	2.577761631
158	2.575276397
159	2.574272922
160	2.572550916
161	2.571440608
162	2.570483359
163	2.567593947
164	2.563343441
165	2.561018192
166	2.55931475
167	2.557791972
168	2.556519763
169	2.554157005
170	2.550958244
171	2.5483295
172	2.545839768
173	2.543220364
174	2.541088887
175	2.538849914
176	2.537183059
177	2.535636292
178	2.53292995
179	2.531142355
180	2.53028333
181	2.528115498
182	2.525299194
183	2.521792548
184	2.519889501
185	2.518064145
186	2.517004576
187	2.514108319
188	2.511501509
189	2.510039338
190	2.507745744
191	2.505741402
192	2.503851755
193	2.502273256
194	2.500221898
195	2.498771956
196	2.497059025
197	2.493299895
198	2.4906315
199	2.489916424
200	2.485706829
201	2.483966526
202	2.483006297
203	2.480808282
204	2.478073545
205	2.474090843
206	2.472010854
207	2.469839695
208	2.468167765
209	2.465596407
210	2.464592496
211	2.462093553
212	2.460011129
213	2.457873614
214	2.456206147
215	2.455173659
216	2.453632135
217	2.452606589
218	2.449733071
219	2.447910611
220	2.446188463
221	2.443462922
222	2.441556635
223	2.440906451
224	2.439596116
225	2.438131881
226	2.436988504
227	2.43284333
228	2.430947576
229	2.428678429
230	2.426707803
231	2.426188998
232	2.425029596
233	2.424193177
234	2.422295708
235	2.418192852
236	2.416662605
237	2.414902666
238	2.413021966
239	2.410564268
240	2.410013201
241	2.409266426
242	2.407702788
243	2.40653069
244	2.405392452
245	2.404548303
246	2.403920664
247	2.402216645
248	2.400912891
249	2.400076469
250	2.398699197
251	2.398057914
252	2.396193648
253	2.394589194
254	2.393441365
255	2.391917262
256	2.391282091
257	2.389936413
258	2.388210053
259	2.386924999
260	2.38541223
261	2.384527786
262	2.38325102
263	2.382079992
264	2.380239216
265	2.379128456
266	2.377795789
267	2.376099707
268	2.37488937
269	2.373328066
270	2.371644984
271	2.370337378
272	2.369765916
273	2.368925184
274	2.366157922
275	2.365277545
276	2.362948687
